avg_acc,best_acc,avg_prec,best_prec,step,time
0.531666672319886,0.69803919394811,0.09877769312428754,0.3420843282791361,0,4613
0.6002941251252321,0.7607843460989933,0.12929353029702986,0.3436465963140185,1,6629
0.6586274594218817,0.6039215747047874,0.1572643513914118,0.370122326383098,2,8619
0.6957843235742813,0.6039215747047874,0.18601569090548797,0.370122326383098,3,10235
0.7050392267806275,0.8166666919109868,0.21270706537933598,0.44545463767318266,4,11658
0.6975294210592321,0.819607862070495,0.2371140543167857,0.44324336947338033,5,13189
0.7127451088571665,0.819607862070495,0.26460071217620634,0.44324336947338033,6,14817
0.7225490333104834,0.819607862070495,0.2890461146774987,0.44324336947338033,7,16413
0.7278823682753479,0.819607862070495,0.30991914491425754,0.44324336947338033,8,18084
0.735352957177396,0.819607862070495,0.3267611425707609,0.44324336947338033,9,19492
0.7387255059679348,0.819607862070495,0.34197123960587456,0.44324336947338033,10,20969
0.7422353127470203,0.819607862070495,0.35148030239707784,0.44324336947338033,11,22671
0.7488431563026765,0.819607862070495,0.3618614803983556,0.44324336947338033,12,23973
0.7528431556552064,0.819607862070495,0.3691735102846244,0.44324336947338033,13,25282
0.7607451149692723,0.8225490240489735,0.379016462519373,0.4527124490812689,14,26802
0.7655686434741114,0.8235294222831726,0.3846090197628873,0.4538294796120588,15,28198
0.7708235442100786,0.8235294222831726,0.3930338564185734,0.4538294796120588,16,29613
0.7716862889995761,0.8254902187515708,0.40061346421782035,0.43520935345338674,17,31178
0.7763333467572343,0.8254902187515708,0.41164089831079786,0.43520935345338674,18,32610
0.7773725608330148,0.8313725719264909,0.42168857040579527,0.4420318247409824,19,34227
0.7887255023273768,0.8313725719264909,0.43014003694551356,0.4420318247409824,20,35801
0.7998627575939777,0.8313725719264909,0.43542417617475565,0.4420318247409824,21,37469
0.8069804050875646,0.8313725719264909,0.43953847346085534,0.4420318247409824,22,39246
0.8120980521978117,0.843137266589146,0.4425797589895313,0.45031055888471494,23,41145
0.8145490320991067,0.843137266589146,0.44481146630439883,0.45031055888471494,24,43397
0.8165294242606442,0.843137266589146,0.44586840982201503,0.45031055888471494,25,45187
0.8179804040637672,0.843137266589146,0.4479968515109512,0.45031055888471494,26,46950
0.8198627571498648,0.8500000098172356,0.4488555064585901,0.46097291713534205,27,48899
0.8211176596202101,0.8500000098172356,0.4493942702336944,0.46097291713534205,28,50924
0.8220392279297698,0.8500000098172356,0.45004979154751723,0.46097291713534205,29,52820
0.8232549140032599,0.8500000098172356,0.4500457010521849,0.46097291713534205,30,54839
0.8237255018365149,0.8500000098172356,0.450375188449695,0.46097291713534205,31,56964
0.8245882476778591,0.8500000098172356,0.4515391607451359,0.46097291713534205,32,59213
0.8252156989714678,0.8500000098172356,0.45126859969222816,0.46097291713534205,33,61248
0.8258039343824574,0.8500000098172356,0.45126934549601144,0.46097291713534205,34,63283
0.8266274634062074,0.8500000098172356,0.4517718805345352,0.46097291713534205,35,65382
0.8278431489654616,0.8500000098172356,0.4524466972415273,0.46097291713534205,36,67197
0.8283725601551579,0.8500000098172356,0.4530050352233366,0.46097291713534205,37,69069
0.8290588351324492,0.8500000098172356,0.45269275843963075,0.46097291713534205,38,71143
0.8304313844091752,0.8500000098172356,0.45292358925251786,0.46097291713534205,39,73206
0.8309607963001027,0.8500000098172356,0.4540492991654059,0.46097291713534205,40,75143
0.8326078549085879,0.8500000098172356,0.4553135431705651,0.46097291713534205,41,77075
0.8329411888590045,0.8500000098172356,0.45585176361621416,0.46097291713534205,42,79208
0.833960796804989,0.8500000098172356,0.4556938780424696,0.46097291713534205,43,81503
0.8343725612116794,0.8500000098172356,0.45632606194737724,0.46097291713534205,44,83333
